EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,SuccessInsertion,TimeElapsed,TimestepsSoFar
150.0,-638.7955785809327,79,79,0,25.327815532684326,11851
150.0,-631.401088243258,79,158,0,44.45389795303345,23702
150.0,-603.18095018274,79,237,0,63.29224491119385,35553
150.0,-603.1831017483979,79,316,0,81.7891058921814,47404
150.0,-604.0401333996149,79,395,0,100.71384310722351,59255
150.0,-570.117742838572,79,474,0,119.97108578681946,71106
150.0,-536.3704286324565,79,553,0,138.86049675941467,82957
150.0,-554.4718812321477,79,632,0,157.65550637245178,94808
150.0,-516.6813168238459,79,711,0,176.388041973114,106659
150.0,-553.145755849667,79,790,0,195.5399944782257,118510
150.0,-528.0995836372023,79,869,0,214.10009217262268,130361
150.0,-441.4966849697983,79,948,0,232.9188060760498,142212
150.0,-435.54892429682405,79,1027,0,251.80524277687073,154063
150.0,-395.75213380776495,79,1106,0,270.96931886672974,165914
150.0,-382.4232028625738,79,1185,0,290.13694763183594,177765
150.0,-382.3845090124766,79,1264,0,308.940744638443,189616
150.0,-372.71672568119595,79,1343,0,327.92899680137634,201467
150.0,-363.6206202469108,79,1422,0,346.07472801208496,213318
150.0,-357.8924845643659,79,1501,0,364.42558193206787,225169
150.0,-356.65581501067095,79,1580,0,383.13114762306213,237020
150.0,-348.7553518102956,79,1659,0,401.7094705104828,248871
150.0,-347.949598561507,79,1738,0,420.86969447135925,260722
150.0,-338.9417616018656,79,1817,0,439.9923310279846,272573
150.0,-336.31041492162115,79,1896,0,458.70041608810425,284424
150.0,-335.8517213306392,79,1975,0,477.759779214859,296275
150.0,-329.5754850024107,79,2054,0,496.63199043273926,308126
150.0,-323.60831966376134,79,2133,0,515.3395667076111,319977
150.0,-320.615690806639,79,2212,0,534.0196623802185,331828
150.0,-323.45408296755875,79,2291,0,551.861558675766,343679
150.0,-313.6784294706416,79,2370,0,570.5972468852997,355530
150.0,-310.52619454483846,79,2449,0,589.399941444397,367381
150.0,-307.78105551887745,79,2528,0,608.3586099147797,379232
150.0,-296.62828791349864,79,2607,0,627.8766169548035,391083
150.0,-292.7047562404458,79,2686,0,647.1802196502686,402934
150.0,-292.631259951797,79,2765,0,666.1647982597351,414785
150.0,-302.7764916482528,79,2844,0,685.2670476436615,426636
150.0,-293.5583073428817,79,2923,0,704.0611004829407,438487
150.0,-296.1068753505032,79,3002,0,722.853579044342,450338
150.0,-303.31290135356426,79,3081,0,742.0164079666138,462189
150.0,-307.1231044563234,79,3160,0,759.7306122779846,474040
150.0,-305.12335379792984,79,3239,0,778.3464865684509,485891
150.0,-306.17173082187026,79,3318,0,797.6461417675018,497742
150.0,-312.11352479246136,79,3397,0,816.5796911716461,509593
150.0,-312.85370034229686,79,3476,0,835.5899937152863,521444
150.0,-312.32372792343125,79,3555,0,855.0160255432129,533295
150.0,-323.4599812903468,79,3634,0,874.0741665363312,545146
150.0,-331.7473310203061,79,3713,0,892.8536841869354,556997
150.0,-335.2788263058901,79,3792,0,911.9086420536041,568848
150.0,-349.8048765039274,79,3871,0,930.5770072937012,580699
150.0,-346.9785869275136,79,3950,0,950.1540956497192,592550
150.0,-351.8494392051701,81,4031,2,969.101930141449,604401
150.0,-360.3169144823267,79,4110,0,987.8528618812561,616252
150.0,-353.6667355407606,79,4189,0,1006.5501749515533,628103
150.0,-381.18100196778806,79,4268,0,1025.2647547721863,639954
150.0,-355.2022469633186,79,4347,0,1044.0341045856476,651805
150.0,-390.517366234717,79,4426,0,1062.6342930793762,663656
150.0,-377.58239168943214,80,4506,1,1081.131811618805,675507
150.0,-368.4979575144528,79,4585,0,1099.8443613052368,687358
150.0,-367.78659303128353,79,4664,0,1118.6014454364777,699209
150.0,-405.51408480053937,79,4743,0,1136.4825956821442,711060
150.0,-363.4491624387097,80,4823,1,1156.1902885437012,722911
150.0,-371.56668081790383,79,4902,0,1175.4887878894806,734762
150.0,-355.4164697951479,79,4981,0,1194.4417028427124,746613
150.0,-399.86243539801745,81,5062,2,1213.365394115448,758464
150.0,-379.2790242889042,80,5142,1,1232.3433175086975,770315
150.0,-405.35007749573714,79,5221,0,1251.4699211120605,782166
150.0,-422.8990309341724,80,5301,1,1270.3006024360657,794017
150.0,-409.015045805323,80,5381,1,1288.8147339820862,805868
150.0,-373.1817777360287,79,5460,0,1307.3327231407166,817719
150.0,-378.37514682305994,81,5541,2,4552.395447731018,829570
150.0,-392.27317029773656,79,5620,0,4571.018953323364,841421
150.0,-391.62440817782436,80,5700,1,4589.641837835312,853272
150.0,-400.4407865680792,80,5780,1,4607.795889377594,865123
150.0,-425.26567259232513,81,5861,2,4626.312559843063,876974
120.0,-265.995407810875,90,5951,12,4644.562366724014,888825
120.0,-259.30576850997966,90,6041,11,4662.795437097549,900676
120.0,-276.47676759896393,101,6142,22,4681.055958986282,912527
73.6,-99.51726097887601,107,6249,32,4699.794110774994,924446
90.0,-196.30310267330216,110,6359,34,4718.83877825737,936297
136.0,-348.0615904740574,115,6474,36,4738.864317178726,948228
90.0,-154.91786233106077,124,6598,48,4758.7784860134125,960079
91.4,-200.79347520205988,133,6731,56,4778.377622127533,971930
88.8,-148.01958926015203,141,6872,63,4797.501017332077,983925
74.2,-131.18988007441118,146,7018,67,4816.664608955383,995917
60.6,-75.65757890853556,165,7183,86,4835.944147825241,1007837
57.8,-55.71965881768233,196,7379,118,4854.973574399948,1019827
57.4,-44.9227121761501,187,7566,108,4874.20149064064,1031815
64.2,-78.877839057785,207,7773,129,4893.213135719299,1043812
56.8,-51.19320143681945,201,7974,122,4912.1650223731995,1055797
53.0,-51.370860919617556,213,8187,134,4931.364444971085,1067763
61.4,-81.00939161984579,214,8401,135,4950.280319452286,1079682
84.0,-105.04876833071471,224,8625,145,4969.590890407562,1091653
55.2,-50.644431135714264,227,8852,148,4988.836328268051,1103630
53.2,-51.16018138618985,229,9081,151,5007.729643821716,1115597
53.4,-53.24468439863638,230,9311,152,5027.316853761673,1127565
59.4,-80.92227772830408,226,9537,147,5046.495286464691,1139533
54.2,-52.542816592751436,232,9769,153,5065.7139484882355,1151505
