# {"t_start": 1591372385.3888662, "env_id": "Block2D-v1"} 
r,l,t
-175.029114,150,676.665715
-166.182971,143,892.345744
-141.265529,117,919.184995
-142.444846,124,919.438067
-154.873895,142,920.390261
-168.370793,141,949.555121
-136.710422,105,952.8757
-158.62314,137,952.959048
-114.509529,88,979.647674
-117.099037,92,979.848469
-129.102716,120,980.891669
-138.056111,115,980.95306
-150.416035,135,982.166827
-122.692196,93,983.039113
-129.117052,107,983.561157
-139.932317,121,1010.249717
-148.421856,126,1011.046941
-113.49489,86,1011.298231
-125.112076,98,1011.975035
-140.463067,118,1012.857633
-123.708329,93,1013.108818
-118.694693,93,1013.174811
-127.28309,101,1040.211397
-142.153837,131,1040.601915
-126.652984,117,1041.04254
-130.183788,106,1041.556867
-140.096607,125,1043.175429
-107.452838,86,1043.223002
-125.361338,113,1071.072627
-120.060227,109,1071.34238
-108.722234,88,1071.601355
-130.386574,108,1071.748942
-126.255382,112,1072.247545
-114.252688,101,1073.057842
-136.74366,127,1073.994521
-135.512717,118,1074.837317
-131.751644,117,1075.155054
-141.275364,126,1075.41608
-132.069527,114,1100.601031
-122.116603,114,1100.730464
-110.208728,101,1100.859473
-115.30102,114,1101.002662
-109.552908,90,1101.059301
-122.549032,112,1101.273719
-113.800233,111,1101.477846
-94.749874,82,1102.659469
-108.454565,87,1102.998921
-125.639929,111,1103.751911
-121.264889,110,1104.138256
-117.112592,110,1104.585775
-124.079752,109,1130.657826
-104.615245,91,1130.849639
-110.91068,109,1130.932796
-122.407584,113,1131.001415
-138.462189,127,1131.21063
-114.025704,108,1131.337723
-133.235133,118,1131.543593
-122.720275,114,1132.076775
-117.454483,109,1132.269784
-115.859622,87,1132.657707
-102.255776,86,1133.116468
-111.002178,90,1133.251175
-122.361832,115,1133.589857
-115.741257,90,1133.709612
-112.271212,87,1133.772015
-102.155334,86,1133.834603
-104.091225,97,1134.169953
-114.799964,110,1134.443518
-109.074425,93,1134.50421
-106.516805,107,1134.578017
-117.874815,108,1134.98403
-104.106657,102,1135.185035
-119.210611,91,1135.587432
-101.112224,85,1135.922807
-117.453023,101,1161.983626
-111.740451,109,1162.121012
-116.518492,110,1162.253282
-107.545408,91,1162.378047
-122.125378,112,1162.642781
-114.099217,107,1162.70796
-91.400999,81,1162.965827
-139.452197,131,1163.055109
-97.889441,83,1163.363872
-106.682546,101,1163.576938
-119.710423,103,1163.79221
-112.359555,111,1164.056974
-120.183691,110,1164.313068
-126.568624,111,1164.377393
-101.343261,94,1164.699646
-124.049049,117,1164.915127
-113.447586,108,1165.046653
-98.142734,82,1165.16974
-115.708525,109,1165.384368
-145.423551,140,1165.602364
-97.880524,96,1165.783962
-107.725453,98,1165.98984
-129.183037,119,1166.066823
-108.54106,105,1192.385187
-106.890615,94,1192.447658
-98.950617,94,1192.513539
-102.564988,104,1192.770137
-116.111492,98,1192.834245
-113.593917,87,1192.899298
-115.424424,108,1192.976769
-86.772079,78,1193.031128
-118.806774,119,1193.243479
-93.810324,93,1193.299544
-126.834452,122,1193.569703
-104.461435,96,1194.329216
-115.84883,110,1194.404939
-124.301748,105,1194.542916
-110.113396,106,1195.026842
-104.228587,85,1195.155994
-128.487962,114,1195.239318
-104.132984,94,1195.363261
-135.394353,116,1195.440427
-128.750464,103,1195.502916
-101.435557,83,1195.636613
-108.886566,103,1195.718752
-105.681455,104,1196.272931
-113.459617,106,1196.339814
-108.00076,95,1196.462919
-96.152674,85,1196.522359
-105.380378,105,1196.595713
-101.787019,85,1196.86237
-124.994913,111,1196.941272
-122.31813,115,1197.011497
-132.233155,127,1197.219187
-107.835895,101,1222.796686
-118.575761,113,1222.866306
-102.029366,86,1222.987915
-107.285698,106,1223.061634
-107.808556,103,1223.190228
-94.512065,79,1223.372875
-92.692549,88,1223.508436
-102.223247,102,1223.829929
-115.636972,96,1223.889622
-120.265423,108,1223.957567
-111.914334,87,1224.078444
-115.216999,110,1224.344442
-105.200526,105,1224.408429
-111.438394,108,1224.546716
-93.11,82,1224.803561
-112.431258,110,1224.884839
-105.750126,86,1225.080601
-114.944497,107,1225.357183
-130.921469,119,1225.564456
-119.32475,108,1225.751903
-124.477149,122,1225.883203
-108.509521,90,1225.932237
-114.451361,104,1226.00126
-105.820985,95,1226.060032
-100.439694,84,1226.180516
-97.474223,93,1226.247847
-111.291601,108,1226.379921
-104.085624,106,1226.442065
-103.203684,94,1226.499409
-125.416738,109,1226.629482
-119.689762,107,1226.762088
-112.045508,115,1227.028403
-106.582144,92,1227.090687
-112.258108,110,1227.236016
-109.518147,105,1227.366607
-112.837316,108,1227.433378
-118.913841,117,1252.759856
-113.211675,107,1252.882754
-96.921871,91,1253.003482
-102.245213,86,1253.128824
-106.7414,104,1253.202254
-111.312784,98,1253.332983
-104.178468,103,1253.463985
-112.029829,104,1253.527467
-101.144148,91,1253.774658
-111.623295,106,1253.969877
-129.290607,131,1254.232452
-101.68909,90,1254.280828
-95.10364,81,1254.341382
-112.270693,107,1254.729923
-131.440428,130,1255.121982
-114.640651,103,1255.176855
-114.360757,101,1255.308707
-110.111988,104,1255.373324
-100.083052,89,1255.42962
-92.197507,83,1255.555559
-113.762365,107,1255.629035
-102.137014,102,1255.87938
-100.629943,89,1255.93821
-121.695204,113,1256.011659
-92.437939,87,1256.063835
-110.170091,108,1256.136877
-111.825053,103,1256.19894
-110.424134,106,1256.267234
-118.824146,113,1256.338208
-117.946803,93,1256.395585
-116.212182,109,1256.469845
-111.398116,105,1256.602276
-97.432848,81,1256.658811
-107.920152,105,1256.796821
-113.113771,105,1256.924117
-112.693796,106,1257.11562
-103.642656,85,1257.237387
-111.795667,111,1257.517461
-100.168308,102,1257.645437
-108.657489,102,1257.711659
-100.443987,95,1282.923199
-110.480815,101,1282.993954
-87.671205,77,1283.119341
-125.665528,126,1283.212561
-111.294772,105,1283.271853
-107.246373,101,1283.340959
-114.949625,107,1283.550799
-109.068141,104,1283.893191
-106.102952,93,1283.957077
-96.480917,88,1284.093375
-123.308391,110,1284.173155
-93.808148,81,1284.227812
-81.263575,76,1284.369289
-85.895109,78,1284.507282
-82.053463,76,1284.575454
-98.951031,84,1284.719501
-94.481365,84,1284.793845
-102.399911,91,1284.93626
-113.703313,101,1285.146982
-112.985606,106,1285.283213
-103.929796,106,1285.41989
-89.77644,87,1285.54141
-96.887853,88,1285.603542
-95.866391,95,1285.668349
-90.926533,89,1285.729948
