# {"t_start": 1591415659.223302, "env_id": "Block2D-v1"} 
r,l,t
-61.39703,93,241.354407
-65.311565,96,242.464195
-66.418111,97,259.880439
-63.15539,95,260.368517
-65.340643,99,261.747765
-64.094319,95,261.969468
-67.279304,98,262.995254
-65.399635,97,279.735858
-67.174429,98,280.373024
-67.065701,99,281.084428
-69.407878,99,281.457039
-68.195094,98,281.705036
-63.194958,95,282.345329
-67.148769,99,282.391595
-66.12597,98,282.866213
-58.655814,91,299.586459
-68.574271,99,300.621413
-64.425377,96,300.799275
-66.476804,98,301.155535
-68.488928,99,301.60067
-61.070885,95,301.688993
-66.073179,97,301.734908
-68.106824,98,302.001287
-68.020899,100,302.840188
-62.485548,93,302.925155
-63.86254,98,319.403527
-62.268524,95,319.447272
-63.705309,95,319.57954
-65.740592,97,319.84501
-68.241549,98,319.93351
-66.431487,98,319.977476
-59.213857,93,320.446882
-66.535314,96,320.613555
-65.784323,99,320.781937
-67.968813,97,320.864278
-60.017987,92,320.98927
-66.054605,97,321.252576
-69.389014,100,321.342054
-63.716362,96,321.515132
-66.199868,99,321.560197
-66.208814,99,321.736387
-65.555725,96,321.866678
-67.441059,98,322.129106
-64.8482,95,322.393687
-63.996149,95,322.480283
-64.5358,95,322.524094
-66.953247,97,322.701803
-68.656653,101,339.391362
-67.674837,97,339.434319
-61.441311,95,339.655602
-66.137233,99,339.747273
-62.266952,95,339.791167
-66.501049,99,340.01524
-65.747493,99,340.193073
-64.470575,98,340.238436
-61.101269,94,340.50233
-58.404854,92,340.634332
-66.387212,99,340.681987
-68.377558,99,340.726897
-67.607518,99,340.860668
-70.238535,100,340.90545
-69.285762,98,341.081963
-64.482244,96,341.215861
-67.758656,100,341.396183
-61.885415,96,341.482888
-65.040511,97,341.528351
-65.8972,100,341.574948
-67.354816,99,341.929789
-65.230882,96,342.018932
-72.049182,100,342.289841
-63.969473,97,342.466447
-63.867477,95,342.688375
-69.30349,100,342.82453
-66.60527,98,359.394358
-65.942189,98,359.526158
-67.733228,99,359.570324
-64.705637,96,359.655957
-63.976519,95,359.699556
-63.771253,100,359.74677
-60.484046,95,359.963771
-66.023302,97,360.052234
-64.535702,97,360.09624
-65.901005,97,360.140228
-63.390144,97,360.229277
-63.583464,96,360.317039
-67.905295,100,360.363206
-62.889132,96,360.405765
-59.388724,93,360.448515
-62.184113,94,360.71121
-57.633762,91,360.841069
