EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,SuccessInsertion,TimeElapsed,TimestepsSoFar
100.0,-225.2871210386539,79,79,0,21.67559552192688,7901
100.0,-223.91448074386204,79,158,0,41.42336416244507,15802
100.0,-226.88262344663266,79,237,0,61.09243559837341,23703
100.0,-221.66319553727462,79,316,0,80.95444226264954,31604
100.0,-217.6006492994733,79,395,0,100.65192866325378,39505
100.0,-214.0998662740989,79,474,0,120.48618030548096,47406
100.0,-215.80200121170228,79,553,0,140.31566905975342,55307
100.0,-213.0341159432418,79,632,0,160.09798431396484,63208
100.0,-206.76710300227154,79,711,0,179.80874705314636,71109
100.0,-200.20965594568995,79,790,0,199.70338463783264,79010
100.0,-194.2215115231714,79,869,0,219.38881182670593,86911
100.0,-191.14520741368787,79,948,0,239.4110927581787,94812
100.0,-183.9280969520713,81,1029,3,259.4474256038666,102713
100.0,-178.4670639694892,84,1113,7,279.30269145965576,110614
80.4,-141.33001478575557,87,1200,13,299.11002016067505,118515
80.0,-123.39687850149785,88,1288,12,318.970712184906,126416
80.0,-120.53025959393608,100,1388,26,338.95609998703003,134317
81.0,-123.77420864394487,99,1487,31,358.9170832633972,142218
60.2,-85.37929840829634,114,1601,41,378.8128581047058,150119
60.0,-69.88059553948897,125,1726,53,398.6652317047119,158117
58.6,-44.61597891807686,132,1858,56,418.2061426639557,166111
98.6,-147.519651298823,138,1996,64,438.1160364151001,174105
57.4,-42.629836024830816,144,2140,66,457.8501765727997,182093
57.4,-51.88235368550122,142,2282,64,477.737868309021,190081
58.6,-50.367740712921844,155,2437,76,497.4955909252167,198075
58.4,-52.589973747971385,151,2588,72,517.4293746948242,206068
58.8,-53.47972051074,157,2745,79,537.4245219230652,214063
57.0,-50.2013111561032,156,2901,77,557.523891210556,222049
49.2,-47.06579652222253,160,3061,81,577.5048825740814,230038
57.8,-57.11064029370408,166,3227,87,597.3768935203552,238028
48.4,-48.84923770972769,194,3421,116,617.4434642791748,245971
41.2,-37.09177842263922,204,3625,126,637.326806306839,253961
40.4,-38.91795128629082,222,3847,143,657.1438083648682,261949
37.4,-11.92504796345777,232,4079,154,677.0654783248901,269937
38.2,-14.411410913251396,233,4312,154,697.0453660488129,277929
38.8,-17.576935604901564,236,4548,158,717.120863199234,285924
38.0,-15.670955729082598,238,4786,159,737.0516149997711,293915
37.6,-15.257726307209671,235,5021,156,757.0904393196106,301904
37.4,-13.507221421487817,239,5260,160,777.2599122524261,309892
37.6,-16.212773806125732,234,5494,155,797.1049516201019,317881
38.4,-17.881237111427343,239,5733,160,817.1211202144623,325874
36.0,-11.438365335324072,236,5969,157,836.862845659256,333855
36.0,-12.57984563633334,239,6208,160,856.8406174182892,341836
36.4,-12.302599953779302,237,6445,158,876.7183530330658,349819
36.6,-13.892313890488547,236,6681,157,896.6537411212921,357803
36.8,-15.441346443336709,237,6918,158,916.7490484714508,365788
38.2,-16.47157709090751,236,7154,157,936.7743113040924,373780
36.6,-12.970184563700556,237,7391,158,957.2276794910431,381764
37.2,-15.854683110696044,237,7628,158,977.4583859443665,389751
35.6,-13.136818747162698,239,7867,160,997.2770621776581,397730
