# {"t_start": 1590697281.8443654, "env_id": "Block2D-v1"} 
r,l,t
-184.154654,135,10226.047987
-157.595791,126,11494.769624
-156.096291,124,12026.714596
-143.178636,116,12118.314004
-154.241336,119,12135.96461
-139.444989,122,12306.705417
-135.069771,111,12427.51802
-137.03732,119,12468.031661
-152.85033,130,12491.613777
-144.643743,126,12515.025312
-148.337786,128,12625.774383
-124.755185,110,13922.801724
-150.587848,121,13955.503977
-148.599803,144,14745.299994
-142.251523,113,14776.718806
-125.957791,116,14902.124486
-123.691081,120,15586.845439
-114.204304,100,15741.612071
-120.533792,102,15970.776363
-102.937416,88,16010.116259
-124.33847,104,16091.776338
-113.82016,94,16145.505061
-120.185656,109,16199.927111
-116.234495,95,16291.108972
-105.479502,87,16387.228796
-112.993413,95,16435.167091
