EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,SuccessInsertion,TimeElapsed,TimestepsSoFar
200.0,-818.7718590191481,99,99,0,23.69687581062317,19801
200.0,-776.3717919328574,99,198,0,47.68964719772339,39602
200.0,-728.6937832089498,99,297,0,73.00341534614563,59403
200.0,-739.706992967438,99,396,0,97.20124340057373,79204
200.0,-700.2527188720005,99,495,0,122.79944133758545,99005
200.0,-652.8786258745615,99,594,0,146.8500964641571,118806
200.0,-623.9314713480973,99,693,0,173.90376114845276,138607
200.0,-608.3182687993752,99,792,0,200.18382000923157,158408
200.0,-556.7370880418343,99,891,0,229.37701606750488,178209
200.0,-550.6956814791569,99,990,0,260.9114592075348,198010
200.0,-529.6005310075932,99,1089,0,291.9347777366638,217811
200.0,-513.2884584140459,99,1188,0,322.88865303993225,237612
200.0,-495.73491818698164,99,1287,0,352.9930622577667,257413
200.0,-521.2569659171558,99,1386,0,383.53708839416504,277214
200.0,-552.8088403121295,99,1485,0,413.5453565120697,297015
200.0,-597.8716607985467,99,1584,0,438.4080607891083,316816
200.0,-610.1235650099499,99,1683,0,463.7828164100647,336617
200.0,-632.3032390315191,99,1782,0,488.72401428222656,356418
200.0,-665.2315167326311,99,1881,0,513.6198301315308,376219
200.0,-648.8909804030978,99,1980,0,539.1566705703735,396020
200.0,-590.6130715424854,99,2079,0,564.5212912559509,415821
200.0,-588.0335695051987,99,2178,0,591.1885349750519,435622
200.0,-566.4158990851548,99,2277,0,616.4430425167084,455423
200.0,-559.8636079973562,99,2376,0,640.9135100841522,475224
200.0,-540.942221861843,99,2475,0,668.3378303050995,495025
200.0,-455.63467027934695,99,2574,0,699.2911496162415,514826
200.0,-420.0326349658602,99,2673,0,730.3567225933075,534627
200.0,-429.1303542467223,99,2772,0,761.2874336242676,554428
200.0,-450.45051088954324,99,2871,0,792.2313673496246,574229
200.0,-441.09588293061114,99,2970,0,822.3435356616974,594030
200.0,-436.13876476174966,99,3069,0,852.2262358665466,613831
200.0,-481.09058653903867,99,3168,0,882.8091444969177,633632
200.0,-460.62948501520486,99,3267,0,912.8363807201385,653433
200.0,-461.79389452962005,99,3366,0,942.9077763557434,673234
200.0,-470.45879607288435,99,3465,0,973.4996984004974,693035
200.0,-553.3465606876742,99,3564,0,1003.8387551307678,712836
200.0,-504.4621615179264,99,3663,0,1036.477971315384,732637
200.0,-553.2360139524162,99,3762,0,1067.0965611934662,752438
200.0,-555.8649431997653,99,3861,0,1097.5247247219086,772239
200.0,-527.1088656231871,99,3960,0,1127.4448714256287,792040
200.0,-574.696179744347,99,4059,0,1158.9085190296173,811841
200.0,-650.4532237416201,100,4159,1,1188.4450709819794,831642
160.0,-435.34798972632206,106,4265,7,1218.0068395137787,851443
200.0,-676.4554018264163,99,4364,0,1248.2186214923859,871244
200.0,-681.198042841603,99,4463,0,1277.7689890861511,891045
200.0,-640.7723178131725,99,4562,0,1308.864333152771,910846
200.0,-838.017461379825,99,4661,0,1334.5424993038177,930647
200.0,-855.0390663473842,100,4761,1,1360.2845466136932,950448
200.0,-849.2145588214753,100,4861,1,1385.10986328125,970249
200.0,-810.5315680577655,103,4964,4,1410.498839378357,990050
200.0,-738.7756605837781,100,5064,1,1436.6344723701477,1009851
200.0,-784.759311073979,99,5163,0,1461.0377266407013,1029652
200.0,-776.2688022551176,100,5263,1,1486.5022151470184,1049453
200.0,-788.8958120774292,100,5363,1,1511.4815127849579,1069254
200.0,-773.737695312446,100,5463,1,1536.8555569648743,1089055
200.0,-738.068241301103,99,5562,0,1562.3858833312988,1108856
200.0,-753.3398099965408,99,5661,0,1587.961088180542,1128657
200.0,-742.6778776901215,99,5760,0,1613.0338416099548,1148458
200.0,-711.5511730765228,100,5860,1,1638.3138673305511,1168259
200.0,-707.3662798696816,99,5959,0,1663.517709493637,1188060
200.0,-692.0773051420414,99,6058,0,1688.6840977668762,1207861
200.0,-704.6471094671922,99,6157,0,1713.4247550964355,1227662
200.0,-700.3360256514147,99,6256,0,1738.680634021759,1247463
200.0,-674.2217986017419,100,6356,1,1763.8543615341187,1267264
200.0,-649.5257391313219,100,6456,1,1789.1570076942444,1287065
200.0,-662.2769597697495,99,6555,0,1815.140874862671,1306866
200.0,-566.2330512277028,100,6655,1,1845.0652515888214,1326667
200.0,-513.6736614313384,99,6754,0,1875.2188079357147,1346468
200.0,-578.271869845182,99,6853,0,1900.9617581367493,1366269
200.0,-664.1596230124003,99,6952,0,1930.9361975193024,1386070
200.0,-572.0012040965071,99,7051,0,1956.652511358261,1405871
200.0,-569.5265158654136,99,7150,0,1986.8361330032349,1425672
200.0,-591.2175486412227,99,7249,0,2016.6954538822174,1445473
200.0,-606.329311878537,99,7348,0,2041.8432352542877,1465274
200.0,-534.947722275836,99,7447,0,2072.1676709651947,1485075
200.0,-595.8586617418763,99,7546,0,2097.48139500618,1504876
200.0,-562.8254819306569,99,7645,0,2127.4139993190765,1524677
200.0,-622.814362848555,99,7744,0,2153.8457412719727,1544478
200.0,-543.313008691131,99,7843,0,2183.7657458782196,1564279
200.0,-648.065372336421,99,7942,0,2209.9265944957733,1584080
200.0,-534.7872980173704,100,8042,1,2240.392510175705,1603881
200.0,-675.601319482937,99,8141,0,2266.0824942588806,1623682
200.0,-502.4466289922276,99,8240,0,2295.8055670261383,1643483
200.0,-690.8298269711293,100,8340,1,2321.1519553661346,1663284
200.0,-690.7454603904274,100,8440,1,2346.56205368042,1683085
200.0,-712.348817458592,99,8539,0,2371.953293323517,1702886
200.0,-717.292718043405,100,8639,1,2397.1828846931458,1722687
200.0,-500.67162074845703,101,8740,2,2427.727526664734,1742488
200.0,-470.9076783583446,99,8839,0,2457.6807322502136,1762289
177.6,-410.57629840122473,100,8939,1,2487.5630152225494,1782178
