# {"t_start": 1591416947.5835907, "env_id": "Block2D-v1"} 
r,l,t
5.537536,35,2.663128
7.601363,35,3.166974
11.739943,32,3.20756
2.445728,40,3.532509
5.913196,38,3.747936
7.600807,33,3.784035
8.013049,35,3.853551
8.992916,34,4.069491
3.666171,35,4.179499
6.491408,34,4.21619
9.701104,33,4.286128
9.844651,33,4.394294
11.132356,32,4.5025
6.680189,36,4.724046
3.547509,36,4.940955
3.79197,36,4.980098
4.427044,35,5.04876
5.726977,35,5.71642
7.534092,34,5.827594
8.191521,33,5.865011
6.403845,35,6.054072
7.84537,36,6.390497
8.542463,33,6.498246
4.92669,36,6.835386
3.190077,36,6.875059
-51.949967,78,7.400689
9.755646,32,7.575054
6.843247,34,7.617507
9.844123,33,7.656442
-70.042554,97,7.767986
8.8413,33,7.81025
4.47839,36,7.850065
9.739601,34,8.142558
1.500307,40,8.486405
10.32579,33,8.59133
11.379541,33,8.928026
6.37123,35,8.968604
6.582568,34,9.157975
6.856248,35,9.275512
4.084857,36,9.315783
9.850858,33,9.505007
9.131798,34,9.544266
8.753001,34,9.732405
4.95964,33,10.749671
10.628973,31,11.416306
8.269639,35,11.642945
6.409468,39,35.971832
8.360078,36,36.077827
4.208356,38,36.193812
9.167439,33,36.230721
9.66794,33,36.299595
2.362616,39,36.34309
-45.337627,74,36.456072
11.115471,34,36.522779
7.926779,36,36.562597
10.63029,34,36.743735
8.379683,33,36.779359
2.76798,38,36.857988
5.847631,38,36.898855
4.115681,38,36.965904
5.777475,35,37.181089
10.087081,34,37.289681
3.464288,38,37.331282
4.618837,38,37.513036
10.648719,35,37.551347
7.045071,35,37.620807
12.133268,33,37.657687
12.46631,31,37.727481
3.072459,37,37.76804
3.111999,36,37.843074
10.365034,33,37.879151
3.747055,36,37.952816
7.127707,36,38.062201
3.752079,38,38.103774
3.928589,39,38.176492
0.884338,41,38.221035
10.586323,33,38.27919
13.573179,30,38.311944
4.4392,36,38.392641
8.372333,34,38.429794
11.591616,32,38.497602
2.868015,39,38.540185
4.298411,36,38.612352
9.321857,33,38.648668
6.634556,35,38.721527
-47.629642,77,38.877338
4.261863,39,38.945482
8.075976,34,38.983034
5.064299,38,39.054504
3.47049,38,39.096115
7.433267,35,39.16319
8.73769,34,39.200882
5.481396,35,39.273253
-60.60583,86,39.439277
3.766196,37,39.495728
8.236407,36,39.535295
4.201633,37,39.60556
6.088261,38,39.64784
4.691995,39,39.718046
6.302304,35,39.756274
6.926431,35,39.823129
2.286526,40,39.938927
5.480245,37,39.979913
11.702753,32,40.040483
5.857241,39,40.082967
7.655433,34,40.15379
4.664714,36,40.193498
4.81969,39,40.269513
0.080452,40,40.312987
6.687656,35,40.374062
3.70618,39,40.48742
4.833022,38,40.528761
5.550413,37,40.59509
10.013364,34,40.633697
