EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,SuccessInsertion,TimeElapsed,TimestepsSoFar
60.0,-96.28853894390593,125,125,46,35.30813503265381,7901
34.4,-12.952309091914524,203,328,125,67.53671932220459,15874
32.4,-29.30750227223814,223,551,148,98.69491696357727,23775
40.8,-41.86924435136143,209,760,135,131.21041297912598,31756
26.2,6.78379878757829,217,977,150,163.26626300811768,39754
34.6,-12.449589200474952,232,1209,155,197.39131021499634,47728
34.2,-12.403384064157724,235,1444,158,231.25708651542664,55700
35.6,-14.446977236848497,232,1676,153,264.8983452320099,63679
33.8,-11.112304427531535,238,1914,160,297.69473028182983,71649
27.8,2.8143281873255885,244,2158,177,330.3429307937622,79620
35.2,-13.735016400844904,238,2396,161,363.3144693374634,87597
34.2,-12.007488145970688,230,2626,163,396.597291469574,95569
27.0,4.005912537612578,241,2867,174,429.43875193595886,103537
40.6,-40.392105449644355,234,3101,164,460.09621238708496,111507
28.6,-17.69436642585098,235,3336,159,493.33302783966064,119440
33.8,-8.920166919248633,232,3568,154,526.3481142520905,127410
33.8,-12.448017846762827,235,3803,159,559.0120661258698,135380
33.6,-11.36479763219657,233,4036,157,592.7453560829163,143349
39.0,-41.009812278558215,241,4277,168,626.9201068878174,151318
33.0,9.448495961251226,251,4528,187,660.8422474861145,159284
33.8,9.3290344663621,245,4773,180,693.3086705207825,167254
26.8,3.700083116770858,252,5025,184,725.0359561443329,175253
38.6,-37.542132454506614,243,5268,174,759.2766926288605,183246
33.0,10.716213699798612,258,5526,199,791.8744118213654,191245
34.2,-12.850960314333784,251,5777,182,825.3651633262634,199217
34.0,-12.742720000130697,246,6023,184,858.3421156406403,207188
34.4,-13.682064428689676,242,6265,168,890.6976726055145,215161
35.6,-16.86943981438143,236,6501,157,923.8462955951691,223140
35.0,-14.140650236447533,237,6738,159,956.3548092842102,231116
32.4,-11.834040649879475,238,6976,160,990.5789008140564,239115
33.8,-12.348005156864309,239,7215,164,1023.5923008918762,247085
34.0,-12.69506332856567,238,7453,163,1056.9318466186523,255056
33.8,-13.053489322055649,241,7694,165,1090.1384966373444,263026
32.0,-9.86330659256142,252,7946,189,1123.6970026493073,271023
34.2,7.3977738740828185,248,8194,180,1156.7912364006042,278995
28.4,1.4570300301185284,253,8447,186,1191.1255977153778,286968
33.4,-11.837235099051137,248,8695,185,1224.2557241916656,294936
35.2,-14.138545817035503,243,8938,174,1258.2517819404602,302913
33.4,-11.209992405382863,246,9184,180,1290.8712627887726,310881
26.6,4.800434132537641,269,9453,206,1323.6179778575897,318848
26.0,-1.6361188103863213,281,9734,212,1357.5190920829773,326840
31.6,-6.627244224193982,274,10008,200,1390.7789163589478,334829
26.6,3.1832523613807693,291,10299,215,1423.552015542984,342826
24.2,8.458236541541286,305,10604,231,1455.5870971679688,350815
25.8,-1.381506554622939,311,10915,234,1489.6226015090942,358808
25.2,6.997358371752483,289,11204,212,1523.802470445633,366802
26.8,-2.072316001458039,295,11499,226,1556.7609395980835,374800
33.2,-14.38431332478629,298,11797,235,1590.6962540149689,382767
27.4,-1.2275494507973561,310,12107,235,1624.6229236125946,390765
25.8,2.437930620473515,313,12420,234,1658.449518442154,398759
25.8,-0.9072313394817855,309,12729,231,1691.4380798339844,406748
