# {"t_start": 1591402065.5395198, "env_id": "Block2D-v1"} 
r,l,t
-223.216811,130,959.563638
-237.063304,134,1014.087027
-205.78805,131,1256.388535
-186.352967,112,1258.153407
-174.238325,111,1267.553764
-172.475845,104,1318.280683
-180.155083,133,1357.909098
-156.127601,101,1359.467608
-132.719563,98,1449.080042
-136.99639,91,1450.172149
-127.550567,102,1502.051331
-112.037502,87,1505.168246
-152.565361,109,1507.899925
-129.234415,96,1553.527359
-134.393326,96,1591.695783
-135.571666,92,1593.135725
-170.220405,142,1594.153267
-158.660339,138,1594.473117
-122.637076,90,1597.662515
-166.011368,130,1639.540013
-144.120942,108,1641.777573
-145.867031,95,1642.702453
-145.737108,116,1642.879644
-150.485489,118,1643.67361
-146.215487,122,1644.155761
-166.614977,146,1644.498918
-143.877378,117,1645.264248
-136.133153,93,1645.70323
-157.697795,134,1646.855757
-151.342924,129,1649.253309
-138.943867,92,1651.458556
-137.844405,90,1685.95102
-159.190002,128,1686.318682
-155.083719,128,1686.479274
-132.49816,96,1686.597981
-148.271524,117,1687.412436
-148.012525,123,1687.891075
-133.910095,96,1688.17135
-149.934425,128,1688.518563
-127.970276,88,1688.629672
-152.656275,112,1689.60407
-116.630401,93,1689.738823
-139.61672,130,1690.093755
-134.49418,118,1690.391227
-145.427948,113,1690.697757
-124.870168,87,1690.982251
-121.671075,85,1693.832708
-133.126666,112,1694.821984
-138.488485,103,1695.769322
-132.734905,90,1696.386587
-122.079866,90,1696.538194
-149.144104,115,1696.877137
-137.141941,95,1697.165868
-127.90306,88,1698.112364
-130.894079,96,1733.225137
-133.618645,116,1733.558422
-148.083608,112,1734.203477
-126.538,88,1734.3278
-158.610493,133,1734.531106
-146.410515,104,1735.14548
-177.059535,149,1736.166346
-129.348306,95,1736.423496
-140.546251,94,1736.727759
-148.204229,114,1737.377085
-165.388836,124,1737.69997
-132.102741,107,1737.83279
-160.781316,134,1738.491406
-134.074987,111,1738.620991
-132.124777,91,1739.227101
-158.919429,133,1740.045631
-127.389953,89,1740.943176
-134.12984,103,1741.271594
-140.08031,99,1741.584338
-166.644895,137,1742.421588
-163.996324,124,1742.566963
-144.212141,116,1742.712327
-139.024908,99,1743.325321
-142.977392,124,1743.508028
-138.367564,101,1743.635891
-143.441031,121,1744.132967
-130.535207,111,1744.279055
-130.667897,91,1744.569381
-140.935208,107,1744.736985
-128.407874,86,1744.861024
-137.453625,108,1745.03524
-121.889146,98,1745.506165
-150.919748,124,1780.911403
-122.721221,85,1781.174682
-139.527991,109,1781.820296
-146.115787,99,1781.959072
-148.404732,118,1782.13866
-137.658745,115,1782.301183
-140.240142,112,1782.45511
-134.028748,96,1782.590945
-144.080928,110,1782.758595
-143.084166,121,1782.929776
-138.509182,110,1783.090301
-117.061843,84,1783.214611
-146.19448,115,1783.397843
-121.064366,92,1783.526295
-152.289411,115,1784.188685
-145.312177,113,1784.339907
-146.462276,116,1784.66545
-137.665584,96,1784.79545
-138.069602,97,1785.108586
-151.074862,130,1785.296938
-159.623321,136,1785.464325
-131.902487,107,1785.749744
-132.728584,104,1786.063396
-143.04329,114,1786.387698
-131.913237,94,1786.683705
-131.351099,99,1786.842236
-139.642759,99,1786.995772
-134.545912,101,1787.149829
-142.395727,112,1787.642545
-138.685414,112,1787.963313
