EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,SuccessInsertion,TimeElapsed,TimestepsSoFar
150.0,-633.1655993331138,79,79,0,31.48870062828064,11851
150.0,-629.6015196076046,79,158,0,65.52929902076721,23702
150.0,-637.050729577719,79,237,0,97.76320338249207,35553
150.0,-655.0548095707446,79,316,0,131.13027143478394,47404
150.0,-617.7586124669003,79,395,0,165.64893341064453,59255
150.0,-588.5644220418013,79,474,0,197.44935822486877,71106
150.0,-557.5823450119271,79,553,0,229.72035360336304,82957
150.0,-640.9007500242539,79,632,0,262.03468203544617,94808
150.0,-649.7346284161838,79,711,0,293.134384393692,106659
150.0,-642.9708485529611,79,790,0,323.92817664146423,118510
150.0,-551.4891814059043,79,869,0,354.60409116744995,130361
150.0,-563.0701720533888,79,948,0,386.33668851852417,142212
150.0,-476.46695608543394,79,1027,0,417.7522678375244,154063
150.0,-454.07785690247044,79,1106,0,449.06706190109253,165914
150.0,-433.6060538952512,79,1185,0,482.23032808303833,177765
150.0,-417.03616294074544,79,1264,0,514.6953465938568,189616
150.0,-414.5815147462341,79,1343,0,546.1168134212494,201467
150.0,-394.1548571844641,79,1422,0,578.0309250354767,213318
150.0,-381.1351225516225,79,1501,0,609.6281313896179,225169
150.0,-378.1359115698311,79,1580,0,641.0743556022644,237020
150.0,-366.7618625272385,79,1659,0,673.0461537837982,248871
150.0,-362.0823821058958,79,1738,0,705.4164834022522,260722
150.0,-352.4795711531337,79,1817,0,738.4244403839111,272573
150.0,-341.3799963334378,79,1896,0,771.4206869602203,284424
150.0,-329.88852234627535,79,1975,0,803.6815948486328,296275
150.0,-326.9474705429516,79,2054,0,834.2683348655701,308126
150.0,-326.645901532327,79,2133,0,866.7153551578522,319977
150.0,-323.01019767291245,79,2212,0,898.6033978462219,331828
150.0,-314.38725883129234,79,2291,0,930.0255527496338,343679
150.0,-310.54069502801747,79,2370,0,961.2050266265869,355530
150.0,-304.5350242529058,79,2449,0,993.097508430481,367381
150.0,-302.9205902032276,79,2528,0,1024.6159992218018,379232
150.0,-300.9734265956102,79,2607,0,1056.1893155574799,391083
150.0,-295.6032922841563,79,2686,0,1088.1320638656616,402934
150.0,-295.89942039287644,79,2765,0,1119.629001379013,414785
150.0,-292.77154964333926,79,2844,0,1150.8205907344818,426636
150.0,-289.51247879210666,79,2923,0,1182.9047498703003,438487
150.0,-289.59612915972576,79,3002,0,1214.228665113449,450338
150.0,-283.82890365378523,79,3081,0,1246.3011639118195,462189
150.0,-281.02857298852354,79,3160,0,1277.8593277931213,474040
150.0,-286.5307983818389,79,3239,0,1310.0950102806091,485891
150.0,-287.69845544404154,79,3318,0,1341.9895899295807,497742
150.0,-294.42890062041397,79,3397,0,1373.8508145809174,509593
150.0,-291.4692140283843,79,3476,0,1405.2843980789185,521444
150.0,-291.16231663140394,79,3555,0,1437.180864572525,533295
150.0,-289.9629901063994,79,3634,0,1469.2445077896118,545146
150.0,-287.4647083311521,79,3713,0,1500.2689037322998,556997
150.0,-294.7598752371598,79,3792,0,1532.045017004013,568848
150.0,-299.0401703664976,79,3871,0,1564.9065690040588,580699
150.0,-305.6305014745361,80,3951,1,1596.9907734394073,592550
150.0,-309.18801262101067,79,4030,0,1628.2942266464233,604401
150.0,-313.4609711580982,79,4109,0,1660.718761920929,616252
150.0,-299.3222559198392,80,4189,1,1693.437831878662,628103
150.0,-289.9092600628504,79,4268,0,1725.4367973804474,639954
150.0,-288.39175241266514,79,4347,0,1757.887594461441,651805
150.0,-284.9595914402167,79,4426,0,1790.638456583023,663656
150.0,-293.4126463752017,79,4505,0,1823.5624532699585,675507
150.0,-288.6779207405401,79,4584,0,1856.5219700336456,687358
150.0,-293.55469311335344,79,4663,0,1888.6268508434296,699209
150.0,-291.14829928535727,79,4742,0,1920.80908203125,711060
150.0,-295.81565369391285,79,4821,0,1952.4562439918518,722911
150.0,-298.15746208045874,79,4900,0,1985.4190745353699,734762
150.0,-304.27847328524115,79,4979,0,2018.8294417858124,746613
150.0,-330.6903455467344,79,5058,0,2050.643630504608,758464
150.0,-334.9163803858948,80,5138,1,2082.6323573589325,770315
150.0,-347.66903456993884,79,5217,0,2115.093876361847,782166
150.0,-351.0319248158909,80,5297,2,2147.8559556007385,794017
135.0,-292.28088973200164,80,5377,1,2179.5599908828735,805868
150.0,-351.2078032945896,79,5456,0,2212.383987903595,817719
150.0,-343.8232582143927,79,5535,0,2245.086224079132,829570
150.0,-330.03480740229975,79,5614,0,2278.233134031296,841421
150.0,-314.02999488092763,79,5693,0,2310.9234211444855,853272
150.0,-324.42733191388766,79,5772,0,2343.197021961212,865123
150.0,-332.3116374554578,79,5851,1,2375.605710744858,876974
150.0,-336.3501768503705,80,5931,1,2408.516096830368,888825
150.0,-349.16289752564904,80,6011,1,2441.713529586792,900676
150.0,-344.17230662613554,79,6090,0,2474.0315556526184,912527
150.0,-314.7345798715862,79,6169,2,2506.555242061615,924378
150.0,-337.24870188121633,79,6248,0,2539.2863805294037,936229
150.0,-337.8733463388036,80,6328,1,2572.1809096336365,948080
150.0,-331.32900826518954,81,6409,2,2604.2034344673157,959931
150.0,-323.89029992081805,79,6488,0,2636.367535829544,971782
150.0,-328.55123398753636,79,6567,0,2668.6118359565735,983633
150.0,-320.26285443735003,81,6648,2,2701.6354200839996,995484
150.0,-324.2852321048929,79,6727,0,2734.5969953536987,1007335
150.0,-325.4440486785314,81,6808,3,2766.907196998596,1019186
150.0,-320.32162399502533,80,6888,1,2798.734407186508,1031037
150.0,-321.6669240901601,81,6969,2,2829.8596057891846,1042888
150.0,-319.95038077431207,79,7048,0,2862.3791210651398,1054739
150.0,-311.7109739604786,79,7127,0,2894.1141798496246,1066590
150.0,-308.34080650931566,80,7207,1,2926.9004604816437,1078441
150.0,-303.9810311985712,81,7288,2,2960.3560659885406,1090292
150.0,-301.5217847489087,79,7367,0,2992.090171813965,1102143
150.0,-301.9799289606833,80,7447,1,3024.0332577228546,1113994
150.0,-300.68744325623976,79,7526,0,3057.181539773941,1125845
150.0,-297.5220270555261,80,7606,1,3090.599241256714,1137696
150.0,-295.6453454474412,80,7686,1,3123.814615249634,1149547
150.0,-294.6330159090844,82,7768,3,3156.4803791046143,1161398
150.0,-291.3186327043576,80,7848,1,3189.2339096069336,1173249
135.0,-252.27934495891472,81,7929,2,3220.842448949814,1185100
150.0,-288.83013635297584,79,8008,0,3252.4708943367004,1196951
150.0,-289.7041894219255,80,8088,1,3283.9701960086823,1208802
150.0,-287.04917214134787,81,8169,2,3315.7431983947754,1220653
150.0,-286.497082620422,80,8249,1,3347.395699739456,1232504
150.0,-283.5628145979639,79,8328,0,3378.711274623871,1244355
150.0,-283.145749463724,80,8408,1,3410.0986428260803,1256206
150.0,-280.89403835922514,79,8487,0,3440.7548162937164,1268057
150.0,-278.11017477726494,81,8568,2,3472.3182022571564,1279908
150.0,-278.1104924794655,81,8649,2,3503.8343544006348,1291759
150.0,-275.86622059373974,80,8729,1,3535.1050515174866,1303610
150.0,-274.3869277007257,83,8812,4,3566.677095413208,1315461
150.0,-273.8577567173686,79,8891,0,3598.2491941452026,1327312
150.0,-272.8788200291048,79,8970,0,3629.3591935634613,1339163
