# {"t_start": 1591428119.561635, "env_id": "Block2D-v1"} 
r,l,t
-90.987396,108,3.313727
-90.253138,112,3.575392
-98.598314,115,6.478622
-85.751206,105,6.651946
5.597788,36,8.25314
-87.380412,107,9.85651
-77.739972,102,10.510545
3.820742,38,14.30955
1.146104,39,70.636268
2.00541,40,73.038405
2.675738,38,75.091948
0.953376,40,79.372653
6.070431,37,105.865183
0.458916,41,106.037868
4.242543,38,106.541236
3.580987,38,107.706703
4.541867,38,109.402243
0.780784,39,109.90357
-80.001126,103,110.039451
0.753843,39,111.928169
-78.282931,102,112.17923
-86.932686,105,114.407494
1.091479,40,114.668272
2.701409,38,114.831918
4.179673,38,114.871782
-90.370299,108,115.246628
-134.258827,149,115.460209
-89.704496,110,117.313201
-66.933949,96,117.631773
-69.330384,93,117.965283
-2.703515,46,118.014061
-74.056392,99,118.135454
-85.403605,109,118.483108
-78.327993,103,118.660589
-64.052145,94,141.754873
-1.180315,40,142.027349
6.421491,37,142.066029
2.202366,38,142.352863
-0.856837,40,142.412921
2.34955,39,142.872819
1.961757,41,143.217288
0.349505,40,143.258934
-110.924363,124,143.474598
-3.906091,43,143.545422
-83.134668,104,143.779753
6.928692,36,143.81712
-82.242254,102,143.939735
2.847852,38,143.979418
-130.485423,149,144.32799
-84.29802,106,144.805634
-90.635912,108,144.968795
1.57914,38,145.051575
-70.386731,99,145.164554
-1.14664,41,145.563294
-83.959907,104,145.680289
-62.501529,93,145.789902
-78.05469,105,146.481637
-61.284447,88,146.62664
5.814001,37,146.665005
-2.813519,44,146.923116
-85.34612,107,147.161559
-71.153594,98,147.317796
5.351449,36,147.354287
4.36362,38,147.409082
6.206573,37,147.44729
0.233395,40,147.491038
4.440513,37,147.564709
2.499306,38,148.225287
2.563295,39,148.26497
-71.682964,98,148.973071
-1.308493,41,149.015976
6.828614,36,149.567174
5.323226,38,149.730251
-90.169889,107,150.473826
-67.852973,93,150.621358
4.757837,37,150.71858
0.453431,40,150.886598
5.672414,37,151.070362
-75.282114,97,151.484569
3.522822,38,151.524654
-0.266283,40,152.254791
-69.571081,95,152.359617
-72.45787,97,152.8163
-83.245429,105,153.172855
-131.391035,150,153.386344
-65.268978,91,153.653367
4.971134,38,153.755875
2.873082,39,153.795803
6.241319,37,154.247514
0.398935,40,154.289097
7.17608,36,154.743872
-1.405473,43,154.788924
-65.26586,90,176.201464
3.468451,38,176.240461
2.22394,38,176.299994
4.055821,38,176.463691
3.088428,38,176.627862
-64.156647,91,176.727672
-72.841283,94,177.040226
2.475514,39,177.477978
-76.404017,99,177.711385
-83.092773,103,177.88002
-62.63177,89,178.029939
0.6276,39,178.134618
1.129152,40,178.175756
3.762597,38,178.214839
3.696543,38,178.453413
5.50402,37,178.490943
-1.44095,40,178.613651
-69.753738,96,178.719373
2.074076,40,178.94304
-73.292343,99,179.073917
4.061398,38,179.123529
-70.584815,95,179.351686
-59.935323,89,179.679121
1.409419,40,179.785729
4.81949,37,179.945764
-0.335686,40,179.987171
-67.419641,101,180.181332
-93.74301,109,180.353941
3.139161,40,180.3952
0.755485,40,180.437279
-60.271066,90,180.538245
1.565755,37,180.596025
5.109099,37,180.634294
4.212012,37,180.672462
5.655598,37,181.089354
-76.024454,95,181.510557
-95.144872,106,181.687627
-0.662874,41,181.729179
2.286403,42,181.776716
4.022802,38,182.104589
3.790575,37,182.141724
5.76296,36,182.178668
4.871909,37,182.216504
-0.326543,42,182.429701
-0.381893,39,182.760985
-62.722595,90,182.85971
-1.186942,42,182.92284
1.866287,41,183.086699
6.568066,36,183.124191
1.137937,39,183.164226
3.364426,38,183.238154
-62.08978,89,183.48238
-64.233922,93,183.651947
-82.204135,106,183.831162
4.335836,38,183.870136
-66.601408,94,184.149635
1.007616,40,184.249655
