EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,SuccessInsertion,TimeElapsed,TimestepsSoFar
150.0,-252.2324262307518,87,87,8,36.31030249595642,11851
150.0,-261.32616604233505,79,166,0,69.40512084960938,23702
150.0,-249.18765717404852,83,249,4,104.9954628944397,35553
120.0,-182.06550251332277,101,350,22,140.6400842666626,47404
90.4,-124.7031540295872,136,486,58,175.08158135414124,59334
72.2,-81.76699673668301,163,649,84,209.75190949440002,71284
51.8,-56.18532981324986,207,856,128,243.57359623908997,83135
108.6,-146.8268834523552,206,1062,129,276.5125312805176,95079
50.8,-54.64851916263147,231,1293,155,309.1082797050476,106930
62.4,-68.94531334761625,215,1508,137,342.73414945602417,118911
57.4,-38.97345363240746,253,1761,176,376.86805272102356,130899
45.6,-25.799877939325153,263,2024,185,411.1425552368164,142864
38.4,-9.967051701106428,258,2282,180,444.5876495838165,154831
46.2,-28.563178284366597,264,2546,187,478.7927875518799,166802
44.6,-25.68856760300532,263,2809,186,513.6714227199554,178768
49.0,-29.46136860356854,258,3067,181,547.1783022880554,190754
46.0,-23.49385619216055,276,3343,201,581.5024013519287,202725
39.0,-18.32989856496621,289,3632,212,614.4004912376404,214702
37.4,-16.378742303616246,313,3945,234,648.0893995761871,226675
39.4,-18.217393345569505,309,4254,231,681.8923766613007,238650
39.8,-18.632066889658752,313,4567,234,715.8246331214905,250631
36.4,-14.263939523121138,313,4880,234,750.0503766536713,262603
38.8,-17.63376803368646,319,5199,241,783.6188523769379,274575
38.6,-17.557714674713356,316,5515,237,816.456131696701,286548
37.0,-15.349983826744516,319,5834,242,849.9770891666412,298517
38.8,-16.52898225199097,318,6152,239,883.2153608798981,310489
37.4,-15.918381725334962,311,6463,236,915.3782663345337,322455
37.6,-16.14229784178729,317,6780,245,947.9916572570801,334425
38.0,-15.406540251245925,316,7096,239,980.0927555561066,346394
38.0,-15.838756484315741,328,7424,254,1011.6636736392975,358363
32.2,-3.402649282474404,316,7740,252,1043.8651041984558,370329
30.0,3.864274808931681,338,8078,268,1076.2570624351501,382329
30.2,2.1863429822508174,346,8424,280,1108.1262738704681,394329
35.4,-12.23028534985373,338,8762,277,1140.5710730552673,406320
36.4,-14.117451481055047,364,9126,297,1173.8786971569061,418320
29.8,1.8243746126195617,358,9484,282,1206.946717262268,430316
29.2,1.8487704801321372,366,9850,295,1239.2398436069489,442270
41.4,-20.447823411696255,379,10229,305,1270.827614068985,454253
31.0,-3.2837013024620347,385,10614,310,1302.684923171997,466250
30.8,-1.505445736819,388,11002,310,1334.7654089927673,478214
44.4,-24.30100690255872,391,11393,312,1366.797393321991,490208
29.6,-1.2620491077218645,391,11784,313,1398.9344308376312,502198
29.4,-0.07864871335918337,380,12164,301,1431.5407991409302,514189
28.6,0.6219194594114696,387,12551,308,1464.8918499946594,526175
30.6,-2.0574963560079085,395,12946,317,1498.4715542793274,538170
30.2,-2.610639318730861,395,13341,317,1531.148957490921,550163
29.4,-2.589021345152298,393,13734,314,1564.6265816688538,562151
30.8,-5.104326583948142,393,14127,314,1597.3441486358643,574142
28.8,-2.7919400869644675,393,14520,314,1630.221158504486,586123
31.4,-7.286936302281847,394,14914,315,1663.205262184143,598112
