EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,Success,TimeElapsed,TimestepsSoFar
150.0,-643.8247993350833,50,50,0,16.56339144706726,7500
150.0,-649.1564062023734,50,100,0,33.90349292755127,15000
150.0,-622.1802211506036,50,150,0,51.05029511451721,22500
150.0,-608.3621991194966,50,200,0,68.39897561073303,30000
150.0,-594.3797719024337,50,250,0,86.23392605781555,37500
150.0,-690.7939309954396,50,300,0,103.31398248672485,45000
150.0,-531.8047780937717,50,350,0,120.16280555725098,52500
150.0,-743.2507378484266,50,400,0,137.11150479316711,60000
150.0,-556.2250238275963,50,450,0,153.9101095199585,67500
150.0,-712.0410993144862,50,500,0,170.87826108932495,75000
150.0,-466.92800288529014,50,550,0,188.06350469589233,82500
150.0,-691.1296285157979,50,600,0,205.08900451660156,90000
150.0,-583.9306454943966,50,650,0,222.18943881988525,97500
150.0,-679.1000213005846,50,700,0,239.05593490600586,105000
150.0,-714.3877899958268,50,750,0,256.0276017189026,112500
150.0,-671.4631106584868,50,800,0,272.93200182914734,120000
150.0,-564.7865222397555,50,850,0,289.9434804916382,127500
150.0,-544.0240143097692,50,900,0,306.92028760910034,135000
150.0,-482.07154830040656,50,950,1,324.17072677612305,142500
150.0,-442.3079878056993,50,1000,3,341.70427083969116,150000
150.0,-413.10122509780075,50,1050,6,359.25577044487,157500
150.0,-383.27873622190947,50,1100,6,376.92136096954346,165000
150.0,-363.1083056913367,50,1150,6,394.7143015861511,172500
150.0,-364.05755454569515,50,1200,9,412.7909083366394,180000
150.0,-325.24551353061383,50,1250,6,430.88310527801514,187500
150.0,-363.82108282463446,50,1300,6,448.70164346694946,195000
150.0,-343.6585479183738,50,1350,7,466.5771920681,202500
150.0,-323.28674985706357,50,1400,5,484.03047275543213,210000
150.0,-332.7243740397388,50,1450,6,501.24446511268616,217500
150.0,-329.52203595359373,50,1500,10,518.8154137134552,225000
150.0,-317.183774246337,50,1550,12,536.4942381381989,232500
150.0,-345.03132846967964,50,1600,12,554.5247004032135,240000
150.0,-304.48798518334627,50,1650,10,571.4663050174713,247500
150.0,-344.88486645223855,50,1700,6,588.6824786663055,255000
150.0,-317.4084931425747,50,1750,9,605.9150507450104,262500
150.0,-346.64318389219954,50,1800,8,623.5001037120819,270000
150.0,-311.4467230989048,50,1850,18,640.8177251815796,277500
150.0,-260.2746955751571,50,1900,27,658.0041000843048,285000
150.0,-325.08116456795904,50,1950,17,675.5613300800323,292500
150.0,-256.0123495334095,50,2000,25,692.7778558731079,300000
150.0,-304.28829480618873,50,2050,23,709.7867403030396,307500
150.0,-336.398350178165,50,2100,24,727.1762313842773,315000
150.0,-258.0831515072388,50,2150,25,744.6010797023773,322500
150.0,-333.40975033654706,50,2200,25,762.1314256191254,330000
150.0,-273.52123127986624,50,2250,33,779.8109533786774,337500
150.0,-236.05953420674942,50,2300,35,797.6121158599854,345000
150.0,-230.35126729964054,50,2350,33,815.356271982193,352500
150.0,-207.4830947601778,50,2400,34,832.986396074295,360000
150.0,-292.2563096127393,50,2450,33,850.7800993919373,367500
150.0,-236.6625764512284,50,2500,36,868.5466892719269,375000
150.0,-176.3999637983713,50,2550,36,886.7766830921173,382500
150.0,-250.46584849392474,50,2600,36,904.6385614871979,390000
150.0,-175.41538334152315,50,2650,35,922.3477141857147,397500
150.0,-249.51897981674284,50,2700,36,940.1533966064453,405000
150.0,-208.55700993202132,50,2750,33,957.889172077179,412500
150.0,-168.2953280053403,50,2800,42,975.4997003078461,420000
150.0,-202.1929342885026,50,2850,36,993.0961654186249,427500
