EpLenMean,EpRewMean,EpThisIter,EpisodesSoFar,Success,TimeElapsed,TimestepsSoFar
150.0,-651.4708706787303,75,75,0,36.62557601928711,11250
150.0,-629.7622427792023,75,150,0,73.98863363265991,22500
150.0,-589.7209973940178,75,225,0,110.72244954109192,33750
150.0,-569.4690563985101,75,300,0,147.68469834327698,45000
150.0,-570.8483918847147,75,375,0,185.3856816291809,56250
150.0,-579.3796480034662,75,450,0,222.32239198684692,67500
150.0,-572.989662563009,75,525,0,259.12622570991516,78750
150.0,-562.6735373862763,75,600,0,296.2711453437805,90000
150.0,-542.4051560870979,75,675,0,333.7351989746094,101250
150.0,-545.9323894988908,75,750,0,383.21741819381714,112500
150.0,-537.8015853733093,75,825,0,424.3506622314453,123750
150.0,-522.5046282236607,75,900,0,464.21940207481384,135000
150.0,-502.757269101833,75,975,0,505.8734390735626,146250
150.0,-496.40122788817825,75,1050,0,548.3128342628479,157500
150.0,-503.17393448146595,75,1125,0,594.0082285404205,168750
150.0,-487.20216950113826,75,1200,0,647.2678225040436,180000
150.0,-497.94242913068484,75,1275,0,700.894113779068,191250
150.0,-510.6755721716739,75,1350,0,753.7593367099762,202500
150.0,-507.437418814953,75,1425,0,808.2512936592102,213750
150.0,-498.9055932315563,75,1500,0,862.0315701961517,225000
150.0,-471.1368509620923,75,1575,0,909.7209725379944,236250
150.0,-475.2929099048382,75,1650,0,950.6559729576111,247500
150.0,-471.88039322099365,75,1725,0,991.9635126590729,258750
150.0,-463.8233900925503,75,1800,0,1033.4796378612518,270000
150.0,-467.2452601363052,75,1875,0,1075.1895384788513,281250
150.0,-452.0988570361278,75,1950,0,1117.0520572662354,292500
150.0,-446.4794865858427,75,2025,0,1159.3586719036102,303750
150.0,-418.71567324579263,75,2100,0,1201.5812046527863,315000
150.0,-443.387882901883,75,2175,0,1243.602011680603,326250
150.0,-427.44095656200807,75,2250,0,1287.140807390213,337500
150.0,-439.5419685484221,75,2325,0,1331.7879869937897,348750
150.0,-455.6656106901265,75,2400,0,1386.9643983840942,360000
150.0,-445.714197254973,75,2475,0,1441.8470709323883,371250
150.0,-419.33176170599756,75,2550,0,1498.0192186832428,382500
150.0,-386.9735557035186,75,2625,0,1554.319115638733,393750
150.0,-362.2518738332908,75,2700,0,1612.384226322174,405000
150.0,-355.218618467952,75,2775,0,1669.245710849762,416250
150.0,-346.3528693477534,75,2850,0,1714.6940007209778,427500
150.0,-343.0128339238423,75,2925,0,1757.4703466892242,438750
150.0,-336.13300010309,75,3000,0,1800.018372297287,450000
150.0,-335.7408498317383,75,3075,0,1843.145837545395,461250
150.0,-337.9890451208461,75,3150,0,1886.179400920868,472500
150.0,-333.5292338489502,75,3225,1,1936.5578305721283,483750
150.0,-322.7426952238342,75,3300,0,1980.6788611412048,495000
150.0,-319.4027046044722,75,3375,6,2025.3222389221191,506250
150.0,-314.53077155467065,75,3450,7,2070.5191190242767,517500
150.0,-299.0638428965318,75,3525,7,2119.9657526016235,528750
150.0,-297.7565505966723,75,3600,4,2162.9501259326935,540000
150.0,-298.25536349216407,75,3675,6,2206.0059847831726,551250
150.0,-289.1373478012252,75,3750,0,2248.451001405716,562500
150.0,-290.74975410702234,75,3825,0,2291.3597633838654,573750
150.0,-283.514423162546,75,3900,4,2334.54757976532,585000
150.0,-269.0555426827367,75,3975,6,2377.736339330673,596250
150.0,-275.02994420865184,75,4050,11,2420.765465259552,607500
150.0,-264.3388602980866,75,4125,17,2463.910883665085,618750
150.0,-273.2563386635244,75,4200,12,2506.3665997982025,630000
150.0,-271.21435425262933,75,4275,21,2549.442503452301,641250
150.0,-262.6831306179116,75,4350,20,2592.540774345398,652500
150.0,-260.232040396519,75,4425,25,2635.3913140296936,663750
150.0,-266.85292126214415,75,4500,15,2678.6383979320526,675000
150.0,-270.09534748880776,75,4575,11,2721.757317304611,686250
150.0,-259.6397411998808,75,4650,18,2764.4209496974945,697500
150.0,-265.09223484342135,75,4725,18,2807.4842205047607,708750
150.0,-247.80302536406788,75,4800,26,2850.6204237937927,720000
150.0,-245.96678989756555,75,4875,25,2893.8324024677277,731250
150.0,-224.05901245672106,75,4950,28,2936.7715158462524,742500
150.0,-240.8340529748613,75,5025,34,2980.5639839172363,753750
150.0,-231.8448821742051,75,5100,27,3024.0406246185303,765000
150.0,-248.32358060574876,75,5175,24,3067.5787999629974,776250
